"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"by a comb"	3	10283
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"there's my stool"	4	10284
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"kinda silly Mom"	3	10285
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10286
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"this xxx"	2	10287
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"yuck"	1	10288
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10289
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"tooth fairy a fairy in my house gave me mine too"	11	10290
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10291
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"oh"	1	10292
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"Anne"	1	10293
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I killed it in there"	5	10294
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"I don't wanna taste it"	6	10295
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10296
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"I slipped xxx"	3	10297
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"oh"	1	10298
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"how do you open it"	5	10299
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"I didn't know it was tape on"	8	10300
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"did you do that"	4	10301
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"xxx"	1	10302
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"hey"	1	10303
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"okay two bowls"	3	10304
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I already got it open"	5	10305
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10306
